2025-07-01 20:58:03,027 INFO    MainThread:97334 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_setup.py:_flush():81] Configure stats pid to 97334
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_setup.py:_flush():81] Loading settings from /home/ps/.config/wandb/settings
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_setup.py:_flush():81] Loading settings from /home/ps/py_project/nodeik/examples/assets/robots/xarm7/xarm_description/meshes/xarm7/collision/wandb/settings
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ps/py_project/nodeik/examples/assets/robots/xarm7/xarm_description/meshes/xarm7/collision/wandb/run-20250701_205803-hr6ovhlr/logs/debug.log
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ps/py_project/nodeik/examples/assets/robots/xarm7/xarm_description/meshes/xarm7/collision/wandb/run-20250701_205803-hr6ovhlr/logs/debug-internal.log
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_init.py:init():831] calling init triggers
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-01 20:58:03,028 INFO    MainThread:97334 [wandb_init.py:init():872] starting backend
2025-07-01 20:58:03,246 INFO    MainThread:97334 [wandb_init.py:init():875] sending inform_init request
2025-07-01 20:58:03,258 INFO    MainThread:97334 [wandb_init.py:init():883] backend started and connected
2025-07-01 20:58:03,259 INFO    MainThread:97334 [wandb_init.py:init():956] updated telemetry
2025-07-01 20:58:03,272 INFO    MainThread:97334 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-01 20:58:04,695 INFO    MainThread:97334 [wandb_init.py:init():1032] starting run threads in backend
2025-07-01 20:58:04,761 INFO    MainThread:97334 [wandb_run.py:_console_start():2453] atexit reg
2025-07-01 20:58:04,761 INFO    MainThread:97334 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-01 20:58:04,761 INFO    MainThread:97334 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-01 20:58:04,761 INFO    MainThread:97334 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-01 20:58:04,762 INFO    MainThread:97334 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-01 20:58:04,801 INFO    MsgRouterThr:97334 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
